Construction	Verb
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	show
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
